step	jaccard_coeff
0	0.0
1	0.0
2	0.0
3	0.0
4	0.0006113578831733295
5	0.5827123568620749
6	0.03282253417090387
7	0.64368238864055
8	0.6487370590490797
9	0.7624118472905069
10	0.7042860735542436
11	0.7977046685360155
12	0.8004958128004354
13	0.7879346055939412
14	0.6902954496441664
15	0.8018136112549629
16	0.8064702587388418
17	0.8288176277599145
18	0.8294288024700434
19	0.8353411828885757
20	0.8396548737159297
21	0.8402235846076447
22	0.8485135824808036
23	0.8515739798387452
24	0.8501802964617905
25	0.8509431353107153
26	0.8501579699063722
27	0.8532092352853289
28	0.8530683538636458
29	0.8531074771149105
30	0.8528414270597305
